@@,itemlabel,item,startdate,enddate
---,Kristian Djurhuus,Q1058890,1959,1963
---,Erlendur Patursson,Q1355561,1963,1967
---,Kristian Djurhuus,Q1058890,1967,1970
---,Peter F. Christiansen,Q10977966,1970,1975
---,Demmus Hentze,Q11127404,1975-01-11,1981-01-05
---,Tórbjørn Poulsen,Q11258131,1981-01-05,1985-01-10
---,Jóngerð Purkhús,Q3445113,1985,1989
---,Finnbogi Ísakson,Q1417695,1989,1989
---,Ivan Johannesen,Q11158371,1989,1991
---,Jógvan Sundstein,Q763757,1991,1993
---,Finnbogi Ísakson,Q1417695,1993,1994
---,Jóannes Eidesgaard,Q331931,1994,1996
---,Anfinn Kallsberg,Q529900,1996,1998
+++,Karsten Hansen,Q657419,2008,2008
---,Karsten Hansen,Q657419,2008-02-04,2008-09-26
+++,Jørgen Niclasen,Q903946,2011,2015
---,Jørgen Niclasen,Q903946,2011-11-14,2015-09-15
+++,Jørgen Niclasen,Q903946,2019,
---,Jørgen Niclasen,Q903946,2019-09-16,2022-02
---,Uni Rasmussen,Q67080693,2022-02-23,
